                 t           Prod
734      58.786625   40319.395823
735      58.866716   40374.252144
736      58.946806   40429.108465
737      59.026897   40483.964786
738      59.106988   40538.821107
739      59.187079   40593.677427
740      59.267169   40648.533748
741      59.347260   40703.390069
742      59.427351   40758.246390
743      59.507442   40813.102711
744      59.587533   40867.959032
745      59.667623   40922.815353
746      59.747714   40977.671673
747      59.827805   41032.527994
748      59.907896   41087.384315
749      59.987986   41142.240636
750      60.068077   41197.096957
751      60.148168   41251.953278
752      60.228259   41306.809598
753      60.308349   41361.665919
754      60.388440   41416.522240
755      60.468531   41471.378561
756      60.548622   41526.234882
757      60.628713   41581.091203
758      60.708803   41635.947524
759      60.788894   41690.803844
760      60.868985   41745.660165
761      60.949076   41800.516486
762      61.029166   41855.372807
763      61.109257   41910.229128
764      61.189348   41965.085449
765      61.269439   42019.941769
766      61.349529   42074.798090
767      61.429620   42129.654411
768      61.509711   42184.510732
769      61.589802   42239.367053
770      61.669893   42294.223374
771      61.749983   42349.079695
772      61.830074   42403.936015
773      61.910165   42458.792336
774      61.990256   42513.648657
775      62.070346   42568.504978
776      62.150437   42623.361299
777      62.230528   42678.217620
778      62.310619   42733.073941
779      62.390709   42787.930261
780      62.470800   42842.786582
781      62.550891   42897.642903
782      62.630982   42952.499224
783      62.711073   43007.355545
784      62.791163   43062.211866
785      62.871254   43117.068186
786      62.951345   43171.924507
787      63.031436   43226.780828
788      63.111526   43281.637149
789      63.191617   43336.493470
790      63.271708   43391.349791
791      63.351799   43446.206112
792      63.431889   43501.062432
793      63.511980   43555.918753
794      63.592071   43610.775074
795      63.672162   43665.631395
796      63.752253   43720.487716
797      63.832343   43775.344037
798      63.912434   43830.200357
799      63.992525   43885.056678
800      64.072616   43939.912999
801      64.152706   43994.769320
802      64.232797   44049.625641
803      64.312888   44104.481962
804      64.392979   44159.338283
805      64.473069   44214.194603
806      64.553160   44269.050924
807      64.633251   44323.907245
808      64.713342   44378.763566
809      64.793433   44433.619887
810      64.873523   44488.476208
811      64.953614   44543.332528
812      65.033705   44598.188849
813      65.113796   44653.045170
814      65.193886   44707.901491
815      65.273977   44762.757812
816      65.354068   44817.614133
817      65.434159   44872.470454
818      65.514249   44927.326774
819      65.594340   44982.183095
820      65.674431   45037.039416
821      65.754522   45091.895737
822      65.834613   45146.752058
823      65.914703   45201.608379
824      65.994794   45256.464700
825      66.074885   45311.321020
826      66.154976   45366.177341
827      66.235066   45421.033662
828      66.315157   45475.889983
829      66.395248   45530.746304
830      66.475339   45585.602625
831      66.555429   45640.458945
832      66.635520   45695.315266
833      66.715611   45750.171587
834      66.795702   45805.027908
835      66.875793   45859.884229
836      66.955883   45914.740550
837      67.035974   45969.596871
838      67.116065   46024.453191
839      67.196156   46079.309512
840      67.276246   46134.165833
841      67.356337   46189.022154
842      67.436428   46243.878475
