          x  Sw_0         p_0      Sw_1          p_1      Sw_2          p_2      Sw_3          p_3      Sw_4          p_4   C_0            C_1            C_2           C_3           C_4 
68    680.0  0.251  319.317274  0.520411   368.659584  0.723372  1480.452560  0.736545  3347.350979  0.744951  4178.517919   0.0   1.021898e-01   4.951530e+02  4.998820e+02  8.967734e+00
69    690.0  0.251  316.898203  0.520295   362.285314  0.722457  1435.071637  0.736242  3303.261159  0.744847  4175.185150   0.0   5.822325e-02   4.934720e+02  4.999278e+02  1.182790e+01
70    700.0  0.251  314.479133  0.520194   355.913040  0.721464  1389.776917  0.735942  3259.122702  0.744740  4171.673143   0.0   3.257233e-02   4.913208e+02  4.999565e+02  1.540071e+01
71    710.0  0.251  312.060063  0.520027   349.541234  0.720383  1344.616867  0.735643  3214.937402  0.744631  4167.939142   0.0   1.788507e-02   4.886058e+02  4.999741e+02  1.980162e+01
72    720.0  0.251  309.640993  0.519322   343.166231  0.719202  1299.650171  0.735345  3170.706474  0.744518  4163.933894   0.0   9.631391e-03   4.852256e+02  4.999848e+02  2.514815e+01
73    730.0  0.251  307.221922  0.514829   336.768413  0.717909  1254.946592  0.735048  3126.430744  0.744400  4159.601639   0.0   5.071292e-03   4.810733e+02  4.999912e+02  3.155552e+01
74    740.0  0.251  304.802852  0.494364   330.655017  0.716488  1210.587590  0.734752  3082.110785  0.744277  4154.880363   0.0   2.562894e-03   4.760395e+02  4.999949e+02  3.913162e+01
75    750.0  0.251  302.383782  0.475700   325.169652  0.714926  1166.666625  0.734457  3037.747001  0.744148  4149.702343   0.0   1.223418e-03   4.700160e+02  4.999971e+02  4.797153e+01
76    760.0  0.251  299.964712  0.465018   320.175263  0.713203  1123.289062  0.734162  2993.339683  0.744011  4143.994995   0.0   5.574738e-04   4.629000e+02  4.999984e+02  5.815183e+01
77    770.0  0.251  297.545641  0.459515   315.428138  0.711301  1080.571635  0.733867  2948.889042  0.743867  4137.682031   0.0   2.443702e-04   4.545985e+02  4.999991e+02  6.972513e+01
78    780.0  0.251  295.126571  0.456836   310.797234  0.709197  1038.641437  0.733573  2904.395233  0.743713  4130.684908   0.0   1.034629e-04   4.450337e+02  4.999995e+02  8.271516e+01
79    790.0  0.251  292.707501  0.455518   306.217723  0.706865   997.634403  0.733278  2859.858369  0.743551  4122.924530   0.0   4.231680e-05   4.341469e+02  4.999996e+02  9.711273e+01
80    800.0  0.251  290.288431  0.454724   301.659116  0.704277   957.693335  0.732983  2815.278522  0.743371  4114.232588   0.0   1.666018e-05   4.219035e+02  4.999997e+02  1.128730e+02
81    810.0  0.251  287.869360  0.453826   297.106478  0.701397   918.965490  0.732688  2770.655730  0.743164  4104.415947   0.0   6.262862e-06   4.082964e+02  4.999997e+02  1.299145e+02
82    820.0  0.251  285.450290  0.451753   292.548814  0.698185   881.599842  0.732392  2725.990001  0.742942  4093.369001   0.0   2.213275e-06   3.933484e+02  4.999995e+02  1.481191e+02
83    830.0  0.251  283.031220  0.445263   287.968567  0.694595   845.744119  0.732094  2681.281304  0.742706  4081.014290   0.0   7.124160e-07   3.771138e+02  4.999993e+02  1.673345e+02
84    840.0  0.251  280.612150  0.422585   283.351926  0.690574   811.541849  0.731796  2636.529579  0.742458  4067.285750   0.0   1.933725e-07   3.596787e+02  4.999989e+02  1.873776e+02
85    850.0  0.251  278.193079  0.348273   279.080108  0.686072   779.129851  0.731496  2591.734728  0.742196  4052.130652   0.0   3.343415e-08   3.411595e+02  4.999982e+02  2.080407e+02
86    860.0  0.251  275.774009  0.262050   275.845632  0.681106   748.637735  0.731193  2546.896618  0.741924  4035.511149   0.0   8.823226e-10   3.217017e+02  4.999971e+02  2.290975e+02
87    870.0  0.251  273.354939  0.251051   273.355232  0.676097   720.196243  0.730889  2502.015078  0.741640  4017.405344   0.0   9.378437e-14   3.014832e+02  4.999955e+02  2.503112e+02
88    880.0  0.251  270.935869  0.251000   270.935869  0.671739   693.545385  0.730581  2457.089904  0.741347  3997.807830   0.0   6.487189e-20   2.807314e+02  4.999931e+02  2.714423e+02
89    890.0  0.251  268.516798  0.251000   268.516798  0.667027   668.351188  0.730270  2412.120863  0.741047  3976.729678   0.0   3.963517e-26   2.596722e+02  4.999894e+02  2.922565e+02
90    900.0  0.251  266.097728  0.251000   266.097728  0.661879   644.617527  0.729955  2367.107693  0.740721  3953.965940   0.0   2.381831e-32   2.385297e+02  4.999840e+02  3.125327e+02
91    910.0  0.251  263.678658  0.251000   263.678658  0.656257   622.357306  0.729635  2322.050122  0.740311  3929.199906   0.0   1.422440e-38   2.175278e+02  4.999760e+02  3.320712e+02
92    920.0  0.251  261.259588  0.251000   261.259588  0.650131   601.568401  0.729310  2276.947880  0.739874  3902.374447   0.0   8.529455e-45   1.968851e+02  4.999644e+02  3.506967e+02
93    930.0  0.251  258.840517  0.251000   258.840517  0.643472   582.234101  0.728978  2231.800727  0.739428  3873.588201   0.0   5.175304e-51   1.768079e+02  4.999477e+02  3.682623e+02
94    940.0  0.251  256.421447  0.251000   256.421447  0.636255   564.323797  0.728639  2186.608484  0.738976  3842.954836   0.0   3.187563e-57   1.574848e+02  4.999240e+02  3.846533e+02
95    950.0  0.251  254.002377  0.251000   254.002377  0.628462   547.794010  0.728292  2141.371083  0.738522  3810.599100   0.0   1.989436e-63   1.390823e+02  4.998906e+02  3.997883e+02
96    960.0  0.251  251.583307  0.251000   251.583307  0.620109   532.589948  0.727934  2096.088633  0.738068  3776.653350   0.0   1.251689e-69   1.217410e+02  4.998442e+02  4.136187e+02
97    970.0  0.251  249.164236  0.251000   249.164236  0.611435   518.648987  0.727565  2050.761500  0.737618  3741.254201   0.0   7.889550e-76   1.055765e+02  4.997801e+02  4.261274e+02
98    980.0  0.251  246.745166  0.251000   246.745166  0.603553   505.825265  0.727184  2005.390419  0.737173  3704.539377   0.0   4.955970e-82   9.069355e+01  4.996926e+02  4.373258e+02
99    990.0  0.251  244.326096  0.251000   244.326096  0.595883   493.925413  0.726787  1959.976622  0.736738  3666.644860   0.0   3.092962e-88   7.716446e+01  4.995744e+02  4.472505e+02
