CFL: 0.834861645022950
Execution time : 0.14682418199663516

        x        Sw        So
519  5.19  0.729508  0.270492
520  5.20  0.729445  0.270555
521  5.21  0.729382  0.270618
522  5.22  0.729319  0.270681
523  5.23  0.729255  0.270745
524  5.24  0.729192  0.270808
525  5.25  0.729130  0.270870
526  5.26  0.729067  0.270933
527  5.27  0.729004  0.270996
528  5.28  0.728941  0.271059
529  5.29  0.728878  0.271122
530  5.30  0.728816  0.271184
531  5.31  0.728753  0.271247
532  5.32  0.728691  0.271309
533  5.33  0.728628  0.271372
534  5.34  0.728566  0.271434
535  5.35  0.728503  0.271497
536  5.36  0.728441  0.271559
537  5.37  0.728379  0.271621
538  5.38  0.728317  0.271683
539  5.39  0.728254  0.271746
540  5.40  0.728192  0.271808
541  5.41  0.728130  0.271870
542  5.42  0.728068  0.271932
543  5.43  0.728006  0.271994
544  5.44  0.727944  0.272056
545  5.45  0.727883  0.272117
546  5.46  0.727821  0.272179
547  5.47  0.727759  0.272241
548  5.48  0.727697  0.272303
549  5.49  0.727636  0.272364
550  5.50  0.727574  0.272426
551  5.51  0.727513  0.272487
552  5.52  0.727451  0.272549
553  5.53  0.727390  0.272610
554  5.54  0.727328  0.272672
555  5.55  0.727267  0.272733
556  5.56  0.727206  0.272794
557  5.57  0.727145  0.272855
558  5.58  0.727083  0.272917
559  5.59  0.727022  0.272978
560  5.60  0.726961  0.273039
561  5.61  0.726900  0.273100
562  5.62  0.726839  0.273161
563  5.63  0.726778  0.273222
564  5.64  0.726717  0.273283
565  5.65  0.726656  0.273344
566  5.66  0.726596  0.273404
567  5.67  0.726535  0.273465
568  5.68  0.726474  0.273526
569  5.69  0.726414  0.273586
570  5.70  0.726353  0.273647
571  5.71  0.726292  0.273708
572  5.72  0.726232  0.273768
573  5.73  0.726171  0.273829
574  5.74  0.726111  0.273889
575  5.75  0.726051  0.273949
576  5.76  0.725990  0.274010
577  5.77  0.725930  0.274070
578  5.78  0.725870  0.274130
579  5.79  0.725810  0.274190
580  5.80  0.725749  0.274251
581  5.81  0.725689  0.274311
582  5.82  0.725629  0.274371
583  5.83  0.725569  0.274431
584  5.84  0.725509  0.274491
585  5.85  0.725449  0.274551
586  5.86  0.725389  0.274611
587  5.87  0.725330  0.274670
588  5.88  0.725270  0.274730
589  5.89  0.725210  0.274790
590  5.90  0.725150  0.274850
591  5.91  0.725091  0.274909
592  5.92  0.725031  0.274969
593  5.93  0.724971  0.275029
594  5.94  0.724912  0.275088
595  5.95  0.724852  0.275148
596  5.96  0.724793  0.275207
597  5.97  0.724733  0.275267
598  5.98  0.724674  0.275326
599  5.99  0.724615  0.275385
600  6.00  0.724555  0.275445
